latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
70.69217,23.59979,310.4,0.39,0.36,2018-10-18,0124,N,nominal,1.0NRT,278,1.4,N
67.36173,15.57972,305,0.42,0.37,2018-10-18,0124,N,nominal,1.0NRT,280.8,1.7,N
65.7674,24.18679,328.5,0.41,0.37,2018-10-18,0124,N,nominal,1.0NRT,275.3,3.9,N
65.56224,22.21449,297.8,0.4,0.37,2018-10-18,0124,N,nominal,1.0NRT,265.1,1.5,N
64.64497,24.42319,320.5,0.43,0.38,2018-10-18,0124,N,nominal,1.0NRT,269.4,2.3,N
59.52718,34.14563,295.7,0.37,0.58,2018-10-18,0124,N,nominal,1.0NRT,278.7,0.5,N
59.50244,32.09042,313.9,0.32,0.55,2018-10-18,0124,N,nominal,1.0NRT,279.8,0.6,N
63.31667,9.14281,296.9,0.48,0.4,2018-10-18,0124,N,nominal,1.0NRT,280.8,1.2,N
59.3852,28.4661,295.8,0.51,0.49,2018-10-18,0124,N,nominal,1.0NRT,280.3,2.1,N
59.06093,28.1372,296.1,0.51,0.49,2018-10-18,0124,N,nominal,1.0NRT,280,0.6,N
61.20618,1.8303,299,0.48,0.48,2018-10-18,0124,N,nominal,1.0NRT,280.3,0.8,N
60.8102,5.01987,303.8,0.57,0.43,2018-10-18,0124,N,nominal,1.0NRT,277.9,1.9,N
60.80622,5.01863,304.2,0.57,0.43,2018-10-18,0124,N,nominal,1.0NRT,277.8,1.9,N
60.81001,5.01351,299.8,0.57,0.43,2018-10-18,0124,N,nominal,1.0NRT,277,1.9,N
60.80913,5.02413,304,0.57,0.43,2018-10-18,0124,N,nominal,1.0NRT,278.7,1.9,N
53.43964,34.41759,302.7,0.67,0.73,2018-10-18,0124,N,nominal,1.0NRT,280.7,3.6,N
57.70809,18.80464,306,0.46,0.39,2018-10-18,0124,N,nominal,1.0NRT,281.8,1.8,N
56.68996,22.58926,299.1,0.41,0.45,2018-10-18,0124,N,nominal,1.0NRT,279.6,0.7,N
59.3593,1.57028,313.6,0.47,0.48,2018-10-18,0124,N,nominal,1.0NRT,281.1,1.5,N
59.36076,1.57326,318,0.47,0.48,2018-10-18,0124,N,nominal,1.0NRT,281.6,1.6,N
58.3459,11.42344,300.2,0.39,0.36,2018-10-18,0124,N,nominal,1.0NRT,286.3,0.8,N
58.27594,6.88663,303.8,0.47,0.4,2018-10-18,0124,N,nominal,1.0NRT,280,2.1,N
58.27508,6.89486,295.5,0.47,0.4,2018-10-18,0124,N,nominal,1.0NRT,279.2,1.2,N
58.27684,6.88873,325.8,0.47,0.4,2018-10-18,0124,N,nominal,1.0NRT,280.5,3.1,N
52.84758,29.99211,310.5,0.5,0.66,2018-10-18,0124,N,nominal,1.0NRT,281.1,1.3,N
52.84625,29.99389,302.3,0.5,0.66,2018-10-18,0124,N,nominal,1.0NRT,279.9,2.4,N
58.35384,0.86167,310.2,0.49,0.48,2018-10-18,0124,N,nominal,1.0NRT,281.8,1,N
58.3525,0.86395,304.1,0.49,0.48,2018-10-18,0124,N,nominal,1.0NRT,281.4,1,N
57.97651,1.23787,308.4,0.47,0.48,2018-10-18,0124,N,nominal,1.0NRT,280.1,0.5,N
35.80934,-0.23541,337.1,0.46,0.39,2018-10-18,0136,N,nominal,1.0NRT,291.2,7.7,N
35.81377,-0.27144,301.6,0.47,0.39,2018-10-18,0136,N,nominal,1.0NRT,286.5,0.8,N
35.81188,-0.25601,308.5,0.47,0.39,2018-10-18,0136,N,nominal,1.0NRT,287,1.7,N
35.80761,-0.25148,328.4,0.47,0.39,2018-10-18,0136,N,nominal,1.0NRT,286.7,1.7,N
35.80825,-0.25661,317.9,0.47,0.39,2018-10-18,0136,N,nominal,1.0NRT,287.2,1.7,N
35.80318,-0.21546,302.6,0.46,0.39,2018-10-18,0136,N,nominal,1.0NRT,287.6,1.8,N
35.80744,-0.34117,305.6,0.47,0.4,2018-10-18,0136,N,nominal,1.0NRT,288.1,0.8,N
35.77261,-0.26832,307.5,0.47,0.39,2018-10-18,0136,N,nominal,1.0NRT,286.8,0.8,N
34.50333,6.98104,297,0.46,0.39,2018-10-18,0136,N,nominal,1.0NRT,284.1,0.6,N
